"assetId","Bildnutzung","name","file","Copyright","Freigabe Social Media","CC-Lizenz","CC-Urheber","CC-Rechteinhaber","Bildunterschrift","Bildunterschrift (Englisch)","Schlagwörter","Schlagwörter (Englisch)","Region","Ort","Druckbreite_cm","fileType","fileSize","ALT-Beschreibung"
"13238","🟩 Open Data Bilder, Bildnutzung nach CC-Lizenz","_7265839","_7265839.jpg","CC BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0/;Peter von Felbert;Bayern Tourismus Marketing GmbH; ","JA","CC BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0/","Peter von Felbert","Bayern Tourismus Marketing GmbH","","","Alois Biermaier, Handwerk, Alphornbauer, Werkstatt, Holz, Handarbeit, Bischofswiesen","","Oberbayern","","23,98 cm","jpg","2016281","Eine Hand dreht eine Holzspirale an einer Drehbank. Im Vordergrund sind ein rot- und ein graufarbener Teil der Maschine sichtbar. Der Hintergrund zeigt unscharfe Werkzeuge und Holzstücke. Die Hand hält mit einer Klemme den Holzstab fest, während kleine Details der Holzoberfläche hervortreten."
"13280","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","_7267250","_7267250.jpg","erlebe.bayern - Peter von Felbert","JA","","","","","","Geigenbauer, Werkstatt, Handarbeit, Handwerk, Achim Hofer, Füssen","","Allgäu/Bayerisch-Schwaben","","36,03 cm","jpg","2265173",""
"35303","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","_8038560","_8038560.jpg","erlebe.bayern - Peter von Felbert","JA","","","","","",", Franz Marc Gemälde, Essen, Trinken, Kulinarik, Wandern, Auszeit, Familie, Orterer, Berge, Wald, KüheHütte , Alm , Bauernhof","","Oberbayern","","62,31 cm","jpg","24407506",""
"35350","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Flitterkraenze_42","Flitterkraenze_42.jpg","erlebe.bayern - Tobias Gerber","JA","","","","","","Flitterkränze
Franken
Auflug mit der Familie
Feste in Bayern für Kinder
Fränkische Schmankerl
Immaterielles Kulturerbe
Fränkische Tracht","","Franken","","47,55 cm","jpg","11088846",""
"37181","🟩 Open Data Bilder, Bildnutzung nach CC-Lizenz","_W5A3334","_W5A3334.jpg"," ","JA","CC BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0/","Gert Krautbauer","Bayern Tourismus Marketing GmbH","","","Nationalpark Berchtesgaden
Seekühe: Feste in Bayern
gelebte Traditionen
Familienausflug
Aktivitäten am Wasser","","Oberbayern","","30 cm","jpg","8063623","Ein Schiffsruder aus hellem Holz mit einem zentralen Messingstück. Im Hintergrund liegt eine weiße Marine-Kappe auf einem gepolsterten Sitz, neben einem Metallblasinstrument. Die Holzverkleidung und Stufen führen ins Innere des Boots, das von sanftem Licht beleuchtet wird."
"39194","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00617","Thalhammer_Lederhosen_00617.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl, Laden","Tracht","Oberbayern","","31,7 cm","jpg","9126677",""
"41902","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00156","Thalhammer_Lederhosen_00156.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl, Laden, Tattoo, Lederhose","Tracht","Oberbayern","","31,7 cm","jpg","7311091",""
"41914","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00225","Thalhammer_Lederhosen_00225.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl, Laden, Tattoo, Lederhose, Löwe, Krone, Edelweiß, Ganesha, Hinduismus, Indien","Tracht","Oberbayern","","47,55 cm","jpg","12277422",""
"41932","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00333","Thalhammer_Lederhosen_00333.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl, Vorlage, Skizze","Tracht","Oberbayern","","31,7 cm","jpg","8429748",""
"55692","🟩 Open Data Bilder, Bildnutzung nach CC-Lizenz","_7156900","_7156900.jpg","CC BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0/;Peter von Felbert;Bayern Tourismus Marketing GmbH; ","JA","CC BY-SA 4.0 https://creativecommons.org/licenses/by-sa/4.0/","Peter von Felbert","Bayern Tourismus Marketing GmbH","","","Prozession , UmzugTracht , Dirndl , Lederhose","","","","23,98 cm","jpg","2032358","Personen in traditioneller Tracht, von hinten sichtbar. Sie tragen grüne Hüte mit Feder und weiße Hemden. Auf ihren Schultern sind farbenfrohe, bestickte Lendenbänder. Am Gürtel hängen große, metallische Glocken. Im Hintergrund sind undeutlich Strukturen eines Hauses und eine bewaldete Landschaft zu erkennen."
